Country,dominates_count,dominated_by_count,is_frontier,shock_id,baseline_year,epsilon_margin,is_valid_partial_order
AUT,3,2,False,2007,2007,0.0,True
BEL,0,3,False,2007,2007,0.0,True
CAN,5,0,True,2007,2007,0.0,True
CZE,2,0,True,2007,2007,0.0,True
DEU,0,4,False,2007,2007,0.0,True
DNK,11,0,True,2007,2007,0.0,True
ESP,0,1,False,2007,2007,0.0,True
EST,5,0,True,2007,2007,0.0,True
FIN,5,0,True,2007,2007,0.0,True
FRA,1,3,False,2007,2007,0.0,True
GBR,2,0,True,2007,2007,0.0,True
GRC,0,11,False,2007,2007,0.0,True
HUN,0,8,False,2007,2007,0.0,True
IRL,0,0,True,2007,2007,0.0,True
ITA,0,7,False,2007,2007,0.0,True
LTU,2,0,True,2007,2007,0.0,True
LUX,0,0,True,2007,2007,0.0,True
LVA,1,1,False,2007,2007,0.0,True
NLD,4,1,False,2007,2007,0.0,True
POL,0,3,False,2007,2007,0.0,True
PRT,0,9,False,2007,2007,0.0,True
SVK,0,5,False,2007,2007,0.0,True
SVN,4,0,True,2007,2007,0.0,True
SWE,5,0,True,2007,2007,0.0,True
USA,8,0,True,2007,2007,0.0,True
AUT,3,2,False,2007,2007,0.05,True
BEL,0,3,False,2007,2007,0.05,True
CAN,5,0,True,2007,2007,0.05,True
CZE,2,0,True,2007,2007,0.05,True
DEU,0,4,False,2007,2007,0.05,True
DNK,11,0,True,2007,2007,0.05,True
ESP,0,1,False,2007,2007,0.05,True
EST,5,0,True,2007,2007,0.05,True
FIN,5,0,True,2007,2007,0.05,True
FRA,1,3,False,2007,2007,0.05,True
GBR,2,0,True,2007,2007,0.05,True
GRC,0,11,False,2007,2007,0.05,True
HUN,0,8,False,2007,2007,0.05,True
IRL,0,0,True,2007,2007,0.05,True
ITA,0,7,False,2007,2007,0.05,True
LTU,2,0,True,2007,2007,0.05,True
LUX,0,0,True,2007,2007,0.05,True
LVA,1,1,False,2007,2007,0.05,True
NLD,4,1,False,2007,2007,0.05,True
POL,0,3,False,2007,2007,0.05,True
PRT,0,9,False,2007,2007,0.05,True
SVK,0,5,False,2007,2007,0.05,True
SVN,4,0,True,2007,2007,0.05,True
SWE,5,0,True,2007,2007,0.05,True
USA,8,0,True,2007,2007,0.05,True
AUT,3,2,False,2007,2007,0.1,True
BEL,0,3,False,2007,2007,0.1,True
CAN,5,0,True,2007,2007,0.1,True
CZE,2,0,True,2007,2007,0.1,True
DEU,0,4,False,2007,2007,0.1,True
DNK,11,0,True,2007,2007,0.1,True
ESP,0,1,False,2007,2007,0.1,True
EST,5,0,True,2007,2007,0.1,True
FIN,5,0,True,2007,2007,0.1,True
FRA,1,3,False,2007,2007,0.1,True
GBR,2,0,True,2007,2007,0.1,True
GRC,0,11,False,2007,2007,0.1,True
HUN,0,8,False,2007,2007,0.1,True
IRL,0,0,True,2007,2007,0.1,True
ITA,0,7,False,2007,2007,0.1,True
LTU,2,0,True,2007,2007,0.1,True
LUX,0,0,True,2007,2007,0.1,True
LVA,1,1,False,2007,2007,0.1,True
NLD,4,1,False,2007,2007,0.1,True
POL,0,3,False,2007,2007,0.1,True
PRT,0,9,False,2007,2007,0.1,True
SVK,0,5,False,2007,2007,0.1,True
SVN,4,0,True,2007,2007,0.1,True
SWE,5,0,True,2007,2007,0.1,True
USA,8,0,True,2007,2007,0.1,True
AUT,3,2,False,2007,2007,0.15,True
BEL,0,3,False,2007,2007,0.15,True
CAN,5,0,True,2007,2007,0.15,True
CZE,2,0,True,2007,2007,0.15,True
DEU,0,4,False,2007,2007,0.15,True
DNK,11,0,True,2007,2007,0.15,True
ESP,0,1,False,2007,2007,0.15,True
EST,5,0,True,2007,2007,0.15,True
FIN,5,0,True,2007,2007,0.15,True
FRA,1,3,False,2007,2007,0.15,True
GBR,2,0,True,2007,2007,0.15,True
GRC,0,11,False,2007,2007,0.15,True
HUN,0,8,False,2007,2007,0.15,True
IRL,0,0,True,2007,2007,0.15,True
ITA,0,7,False,2007,2007,0.15,True
LTU,2,0,True,2007,2007,0.15,True
LUX,0,0,True,2007,2007,0.15,True
LVA,1,1,False,2007,2007,0.15,True
NLD,4,1,False,2007,2007,0.15,True
POL,0,3,False,2007,2007,0.15,True
PRT,0,9,False,2007,2007,0.15,True
SVK,0,5,False,2007,2007,0.15,True
SVN,4,0,True,2007,2007,0.15,True
SWE,5,0,True,2007,2007,0.15,True
USA,8,0,True,2007,2007,0.15,True
AUT,3,2,False,2007,2007,0.2,True
BEL,0,3,False,2007,2007,0.2,True
CAN,5,0,True,2007,2007,0.2,True
CZE,2,0,True,2007,2007,0.2,True
DEU,0,4,False,2007,2007,0.2,True
DNK,11,0,True,2007,2007,0.2,True
ESP,0,1,False,2007,2007,0.2,True
EST,5,0,True,2007,2007,0.2,True
FIN,5,0,True,2007,2007,0.2,True
FRA,1,3,False,2007,2007,0.2,True
GBR,2,0,True,2007,2007,0.2,True
GRC,0,11,False,2007,2007,0.2,True
HUN,0,8,False,2007,2007,0.2,True
IRL,0,0,True,2007,2007,0.2,True
ITA,0,7,False,2007,2007,0.2,True
LTU,2,0,True,2007,2007,0.2,True
LUX,0,0,True,2007,2007,0.2,True
LVA,1,1,False,2007,2007,0.2,True
NLD,4,1,False,2007,2007,0.2,True
POL,0,3,False,2007,2007,0.2,True
PRT,0,9,False,2007,2007,0.2,True
SVK,0,5,False,2007,2007,0.2,True
SVN,4,0,True,2007,2007,0.2,True
SWE,5,0,True,2007,2007,0.2,True
USA,8,0,True,2007,2007,0.2,True
AUS,7,0,True,2019,2019,0.0,True
AUT,3,0,True,2019,2019,0.0,True
BEL,0,1,False,2019,2019,0.0,True
BGR,1,0,True,2019,2019,0.0,True
CAN,6,0,True,2019,2019,0.0,True
CHE,9,0,True,2019,2019,0.0,True
COL,0,1,False,2019,2019,0.0,True
CZE,2,0,True,2019,2019,0.0,True
DEU,2,0,True,2019,2019,0.0,True
DNK,7,0,True,2019,2019,0.0,True
ESP,0,9,False,2019,2019,0.0,True
EST,8,0,True,2019,2019,0.0,True
FIN,4,0,True,2019,2019,0.0,True
FRA,2,3,False,2019,2019,0.0,True
GBR,1,1,False,2019,2019,0.0,True
GRC,0,15,False,2019,2019,0.0,True
HRV,0,8,False,2019,2019,0.0,True
HUN,1,0,True,2019,2019,0.0,True
IRL,0,0,True,2019,2019,0.0,True
ITA,0,16,False,2019,2019,0.0,True
KOR,1,0,True,2019,2019,0.0,True
LTU,0,1,False,2019,2019,0.0,True
LUX,0,0,True,2019,2019,0.0,True
LVA,0,2,False,2019,2019,0.0,True
NLD,4,1,False,2019,2019,0.0,True
NZL,8,0,True,2019,2019,0.0,True
POL,3,0,True,2019,2019,0.0,True
PRT,0,11,False,2019,2019,0.0,True
ROU,0,0,True,2019,2019,0.0,True
SVK,0,6,False,2019,2019,0.0,True
SVN,4,0,True,2019,2019,0.0,True
SWE,4,0,True,2019,2019,0.0,True
TUR,0,4,False,2019,2019,0.0,True
USA,4,0,True,2019,2019,0.0,True
ZAF,0,2,False,2019,2019,0.0,True
AUS,7,0,True,2019,2019,0.05,True
AUT,3,0,True,2019,2019,0.05,True
BEL,0,1,False,2019,2019,0.05,True
BGR,1,0,True,2019,2019,0.05,True
CAN,6,0,True,2019,2019,0.05,True
CHE,9,0,True,2019,2019,0.05,True
COL,0,1,False,2019,2019,0.05,True
CZE,2,0,True,2019,2019,0.05,True
DEU,2,0,True,2019,2019,0.05,True
DNK,7,0,True,2019,2019,0.05,True
ESP,0,9,False,2019,2019,0.05,True
EST,8,0,True,2019,2019,0.05,True
FIN,4,0,True,2019,2019,0.05,True
FRA,2,3,False,2019,2019,0.05,True
GBR,1,1,False,2019,2019,0.05,True
GRC,0,15,False,2019,2019,0.05,True
HRV,0,8,False,2019,2019,0.05,True
HUN,1,0,True,2019,2019,0.05,True
IRL,0,0,True,2019,2019,0.05,True
ITA,0,16,False,2019,2019,0.05,True
KOR,1,0,True,2019,2019,0.05,True
LTU,0,1,False,2019,2019,0.05,True
LUX,0,0,True,2019,2019,0.05,True
LVA,0,2,False,2019,2019,0.05,True
NLD,4,1,False,2019,2019,0.05,True
NZL,8,0,True,2019,2019,0.05,True
POL,3,0,True,2019,2019,0.05,True
PRT,0,11,False,2019,2019,0.05,True
ROU,0,0,True,2019,2019,0.05,True
SVK,0,6,False,2019,2019,0.05,True
SVN,4,0,True,2019,2019,0.05,True
SWE,4,0,True,2019,2019,0.05,True
TUR,0,4,False,2019,2019,0.05,True
USA,4,0,True,2019,2019,0.05,True
ZAF,0,2,False,2019,2019,0.05,True
AUS,7,0,True,2019,2019,0.1,True
AUT,3,0,True,2019,2019,0.1,True
BEL,0,1,False,2019,2019,0.1,True
BGR,1,0,True,2019,2019,0.1,True
CAN,6,0,True,2019,2019,0.1,True
CHE,9,0,True,2019,2019,0.1,True
COL,0,1,False,2019,2019,0.1,True
CZE,2,0,True,2019,2019,0.1,True
DEU,2,0,True,2019,2019,0.1,True
DNK,7,0,True,2019,2019,0.1,True
ESP,0,9,False,2019,2019,0.1,True
EST,8,0,True,2019,2019,0.1,True
FIN,4,0,True,2019,2019,0.1,True
FRA,2,3,False,2019,2019,0.1,True
GBR,1,1,False,2019,2019,0.1,True
GRC,0,15,False,2019,2019,0.1,True
HRV,0,8,False,2019,2019,0.1,True
HUN,1,0,True,2019,2019,0.1,True
IRL,0,0,True,2019,2019,0.1,True
ITA,0,16,False,2019,2019,0.1,True
KOR,1,0,True,2019,2019,0.1,True
LTU,0,1,False,2019,2019,0.1,True
LUX,0,0,True,2019,2019,0.1,True
LVA,0,2,False,2019,2019,0.1,True
NLD,4,1,False,2019,2019,0.1,True
NZL,8,0,True,2019,2019,0.1,True
POL,3,0,True,2019,2019,0.1,True
PRT,0,11,False,2019,2019,0.1,True
ROU,0,0,True,2019,2019,0.1,True
SVK,0,6,False,2019,2019,0.1,True
SVN,4,0,True,2019,2019,0.1,True
SWE,4,0,True,2019,2019,0.1,True
TUR,0,4,False,2019,2019,0.1,True
USA,4,0,True,2019,2019,0.1,True
ZAF,0,2,False,2019,2019,0.1,True
AUS,7,0,True,2019,2019,0.15,True
AUT,3,0,True,2019,2019,0.15,True
BEL,0,1,False,2019,2019,0.15,True
BGR,1,0,True,2019,2019,0.15,True
CAN,6,0,True,2019,2019,0.15,True
CHE,9,0,True,2019,2019,0.15,True
COL,0,1,False,2019,2019,0.15,True
CZE,2,0,True,2019,2019,0.15,True
DEU,2,0,True,2019,2019,0.15,True
DNK,7,0,True,2019,2019,0.15,True
ESP,0,9,False,2019,2019,0.15,True
EST,8,0,True,2019,2019,0.15,True
FIN,4,0,True,2019,2019,0.15,True
FRA,2,3,False,2019,2019,0.15,True
GBR,1,1,False,2019,2019,0.15,True
GRC,0,15,False,2019,2019,0.15,True
HRV,0,8,False,2019,2019,0.15,True
HUN,1,0,True,2019,2019,0.15,True
IRL,0,0,True,2019,2019,0.15,True
ITA,0,16,False,2019,2019,0.15,True
KOR,1,0,True,2019,2019,0.15,True
LTU,0,1,False,2019,2019,0.15,True
LUX,0,0,True,2019,2019,0.15,True
LVA,0,2,False,2019,2019,0.15,True
NLD,4,1,False,2019,2019,0.15,True
NZL,8,0,True,2019,2019,0.15,True
POL,2,0,True,2019,2019,0.15,True
PRT,0,11,False,2019,2019,0.15,True
ROU,0,0,True,2019,2019,0.15,True
SVK,0,5,False,2019,2019,0.15,True
SVN,4,0,True,2019,2019,0.15,True
SWE,4,0,True,2019,2019,0.15,True
TUR,0,4,False,2019,2019,0.15,True
USA,4,0,True,2019,2019,0.15,True
ZAF,0,2,False,2019,2019,0.15,True
AUS,7,0,True,2019,2019,0.2,True
AUT,3,0,True,2019,2019,0.2,True
BEL,0,1,False,2019,2019,0.2,True
BGR,0,0,True,2019,2019,0.2,True
CAN,6,0,True,2019,2019,0.2,True
CHE,9,0,True,2019,2019,0.2,True
COL,0,1,False,2019,2019,0.2,True
CZE,2,0,True,2019,2019,0.2,True
DEU,2,0,True,2019,2019,0.2,True
DNK,7,0,True,2019,2019,0.2,True
ESP,0,9,False,2019,2019,0.2,True
EST,8,0,True,2019,2019,0.2,True
FIN,3,0,True,2019,2019,0.2,True
FRA,2,2,False,2019,2019,0.2,True
GBR,1,1,False,2019,2019,0.2,True
GRC,0,15,False,2019,2019,0.2,True
HRV,0,7,False,2019,2019,0.2,True
HUN,1,0,True,2019,2019,0.2,True
IRL,0,0,True,2019,2019,0.2,True
ITA,0,16,False,2019,2019,0.2,True
KOR,1,0,True,2019,2019,0.2,True
LTU,0,1,False,2019,2019,0.2,True
LUX,0,0,True,2019,2019,0.2,True
LVA,0,1,False,2019,2019,0.2,True
NLD,4,1,False,2019,2019,0.2,True
NZL,7,0,True,2019,2019,0.2,True
POL,1,0,True,2019,2019,0.2,True
PRT,0,11,False,2019,2019,0.2,True
ROU,0,0,True,2019,2019,0.2,True
SVK,0,4,False,2019,2019,0.2,True
SVN,4,0,True,2019,2019,0.2,True
SWE,4,0,True,2019,2019,0.2,True
TUR,0,4,False,2019,2019,0.2,True
USA,4,0,True,2019,2019,0.2,True
ZAF,0,2,False,2019,2019,0.2,True
