shock_id,baseline_year,profile_code,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,countries,country_count,profile_digit_sum,mean_debt_capacity_score,mean_employment_strength_score,mean_rd_intensity_score,mean_human_capital_tertiary_score,mean_energy_security_score,node_id,main_variable_set,levels
2007,2007,4-5-5-4-5,4,5,5,4,5,DNK,1,23.0,74.57795431976167,100.0,71.3466252831917,50.06824898503602,82.73514245549566,2007__4-5-5-4-5,baseline_5_variables,5
2007,2007,5-5-2-5-5,5,5,2,5,5,EST,1,22.0,100.0,84.21672555948174,21.15455708470343,56.54896210478465,50.22277382461701,2007__5-5-2-5-5,baseline_5_variables,5
2007,2007,2-4-5-5-4,2,4,5,5,4,USA,1,20.0,48.44663866194638,83.6932338699123,75.01278612171896,77.13898717309793,47.194218437799535,2007__2-4-5-5-4,baseline_5_variables,5
2007,2007,3-3-4-5-5,3,3,4,5,5,CAN,1,20.0,64.98653033849067,63.66967674388169,50.39007991533172,100.0,100.0,2007__3-3-4-5-5,baseline_5_variables,5
2007,2007,3-5-4-4-4,3,5,4,4,4,NLD,1,20.0,61.37040714995036,89.80499934563537,41.98347549644867,49.78073136937666,36.96642739992762,2007__3-5-4-4-4,baseline_5_variables,5
2007,2007,3-3-5-4-4,3,3,5,4,4,SWE,1,19.0,64.84607745779543,63.7482004973171,96.69552068284526,51.2964706259738,42.38965728121482,2007__3-3-5-4-4,baseline_5_variables,5
2007,2007,1-4-3-5-5,1,4,3,5,5,GBR,1,18.0,11.148376159671502,76.66535793744274,40.26269042451276,63.455884233491766,52.607492487646,2007__1-4-3-5-5,baseline_5_variables,5
2007,2007,3-2-5-5-3,3,2,5,5,3,FIN,1,18.0,68.12313803376365,54.83575448239758,100.0,65.82852372068734,32.23896352738612,2007__3-2-5-5-3,baseline_5_variables,5
2007,2007,5-4-3-2-4,5,4,3,2,4,SVN,1,18.0,81.1320754716981,81.12812459102211,34.0933110360528,24.99601701506888,34.359418366661046,2007__5-4-3-2-4,baseline_5_variables,5
2007,2007,5-5-1-3-3,5,5,1,3,3,LTU,1,17.0,88.08341608738827,88.56170658290799,12.241503786463827,44.36931062788691,28.2693532576944,2007__5-5-1-3-3,baseline_5_variables,5
2007,2007,5-5-3-3-1,5,5,3,3,1,LUX,1,17.0,95.8291956305859,90.9828556471666,38.90454762117885,37.37941988145978,0.0,2007__5-5-3-3-1,baseline_5_variables,5
2007,2007,2-4-5-3-2,2,4,5,3,2,AUT,1,16.0,38.530287984111226,80.60463290145269,68.73029725083978,33.275741765017905,22.62007222087811,2007__2-4-5-3-2,baseline_5_variables,5
2007,2007,4-3-3-1-5,4,3,3,1,5,CZE,1,16.0,76.76266137040716,74.61065305588274,29.390389885987307,0.44663183102145,50.55619451737794,2007__4-3-3-1-5,baseline_5_variables,5
2007,2007,4-4-2-4-1,4,4,2,4,1,IRL,1,15.0,80.1390268123138,81.40295772804606,27.223684982515177,54.36450330306708,7.710476097086999,2007__4-4-2-4-1,baseline_5_variables,5
2007,2007,2-2-4-3-3,2,2,4,3,3,FRA,1,14.0,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,2007__2-2-4-3-3,baseline_5_variables,5
2007,2007,5-3-1-2-2,5,3,1,2,2,LVA,1,13.0,95.03475670307844,64.97840596780526,4.648322921366291,24.86420354967548,25.27507708313845,2007__5-3-1-2-2,baseline_5_variables,5
2007,2007,1-2-4-4-1,1,2,4,4,1,BEL,1,12.0,16.981132075471695,46.577673079439855,48.53596129441771,53.51127611716117,9.613947055901342,2007__1-2-4-4-1,baseline_5_variables,5
2007,2007,2-1-4-2-3,2,1,4,2,3,DEU,1,12.0,40.61569016881827,31.14775552938096,68.23146618176881,30.98497562887163,28.58329615310983,2007__2-1-4-2-3,baseline_5_variables,5
2007,2007,4-1-3-3-1,4,1,3,3,1,ESP,1,12.0,68.42105263157895,36.44810888627143,27.36697161673024,45.36635297439316,12.778389311997874,2007__4-1-3-3-1,baseline_5_variables,5
2007,2007,3-1-1-2-4,3,1,1,2,4,POL,1,11.0,59.78152929493545,18.49234393404005,3.933981317598306,14.76847175187326,50.03416432123203,2007__3-1-1-2-4,baseline_5_variables,5
2007,2007,2-2-2-1-3,2,2,2,1,3,HUN,1,10.0,38.72889771598808,47.25821227588012,17.56243433777991,12.91964427241276,28.464013117361407,2007__2-2-2-1-3,baseline_5_variables,5
2007,2007,1-3-2-1-2,1,3,2,1,2,ITA,1,9.0,1.0923535253227352,64.67739824630283,23.421604726453666,0.0,13.003623416105148,2007__1-3-2-1-2,baseline_5_variables,5
2007,2007,4-1-1-1-2,4,1,1,1,2,SVK,1,9.0,73.68421052631578,0.0,0.0,2.486148416725561,23.24651428877013,2007__4-1-1-1-2,baseline_5_variables,5
2007,2007,1-1-1-2-2,1,1,1,2,2,GRC,1,7.0,0.0,34.30179295903676,4.768047182198515,26.919380425850665,16.15119135769017,2007__1-1-1-2-2,baseline_5_variables,5
2007,2007,1-2-2-1-1,1,2,2,1,1,PRT,1,7.0,31.67825223435948,39.9947650831043,23.42040079062233,0.3293804995427485,12.917556290688706,2007__1-2-2-1-1,baseline_5_variables,5
2019,2019,1-5-5-5-5,1,5,5,5,5,USA,1,21.0,47.19874493174339,93.74243341404356,69.79533248807502,75.29026170293265,32.46930200745625,2019__1-5-5-5-5,baseline_5_variables,5
2019,2019,5-4-3-4-5,5,4,3,4,5,EST,1,21.0,100.0,90.9011803874092,31.395058301039747,59.15988352457292,30.70006381249264,2019__5-4-3-4-5,baseline_5_variables,5
2019,2019,5-4-5-4-3,5,4,5,4,3,CHE,1,21.0,94.285729158055,91.00332929782084,68.37586413849523,66.20312909766103,15.912588479882489,2019__5-4-5-4-3,baseline_5_variables,5
2019,2019,4-5-5-5-1,4,5,5,5,1,KOR,1,20.0,83.5272770322768,93.34897094430993,100.0,79.20227153757206,6.280888671076726,2019__4-5-5-5-1,baseline_5_variables,5
2019,2019,1-5-4-5-4,1,5,4,5,4,GBR,1,19.0,13.907824411124569,92.97820823244552,57.55191953717922,73.57330806734069,21.460990190868166,2019__1-5-4-5-4,baseline_5_variables,5
2019,2019,3-3-3-5-5,3,3,3,5,5,"AUS, CAN",2,19.0,72.63314828017016,87.09897094430993,35.89630671252976,86.24514235158813,77.24323113802491,2019__3-3-3-5-5,baseline_5_variables,5
2019,2019,4-2-5-4-4,4,2,5,4,4,SWE,1,19.0,84.50057405281287,82.01044188861985,76.31854943926389,65.18051809903986,22.78898045599404,2019__4-2-5-4-4,baseline_5_variables,5
2019,2019,5-4-3-3-4,5,4,3,3,4,NZL,1,19.0,86.35401056117124,92.06643462469734,28.25954467037914,53.832715868724144,22.840569260034176,2019__5-4-3-3-4,baseline_5_variables,5
2019,2019,5-5-4-1-4,5,5,4,1,4,CZE,1,19.0,88.17451205510908,100.0,38.93005528739562,19.46745072163916,20.143056681479017,2019__5-5-4-1-4,baseline_5_variables,5
2019,2019,4-3-4-3-4,4,3,4,3,4,DNK,1,18.0,83.18025258323765,89.7510593220339,63.93351198500172,56.81279284261066,19.33427082234978,2019__4-3-4-3-4,baseline_5_variables,5
2019,2019,3-4-4-4-2,3,4,4,4,2,NLD,1,17.0,77.7841561423651,90.88983050847456,44.98890555612938,57.877273620554725,9.192714183363854,2019__3-4-4-4-2,baseline_5_variables,5
2019,2019,3-5-5-2-2,3,5,5,2,2,DEU,1,17.0,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,2019__3-5-5-2-2,baseline_5_variables,5
2019,2019,2-2-4-4-4,2,2,4,4,4,FIN,1,16.0,67.68082663605051,82.47578692493947,61.68909567901926,69.72411216524709,19.14721488130329,2019__2-2-4-4-4,baseline_5_variables,5
2019,2019,3-4-2-5-2,3,4,2,5,2,IRL,1,16.0,73.13432835820896,91.01467917675544,20.166212481399363,72.89946653230325,10.028071361933492,2019__3-4-2-5-2,baseline_5_variables,5
2019,2019,4-5-2-2-3,4,5,2,2,3,POL,1,16.0,79.21928817451206,95.37681598062952,24.41487904805224,37.519264700462045,18.712590897678595,2019__4-5-2-2-3,baseline_5_variables,5
2019,2019,5-3-2-5-1,5,3,2,5,1,LUX,1,16.0,92.3650975889782,86.55417675544793,21.279666077782107,82.93168499028502,0.0,2019__5-3-2-5-1,baseline_5_variables,5
2019,2019,5-4-1-2-4,5,4,1,2,4,BGR,1,16.0,93.62801377726753,91.94158595641646,12.749112297042558,28.496841117990552,20.64124573945459,2019__5-4-1-2-4,baseline_5_variables,5
2019,2019,2-3-4-3-3,2,3,4,3,3,SVN,1,15.0,67.27898966704937,90.83308111380146,42.932603292166014,40.45413332556315,16.66366192322806,2019__2-3-4-3-3,baseline_5_variables,5
2019,2019,2-3-5-3-2,2,3,5,3,2,AUT,1,15.0,64.40872560275545,90.65148305084746,69.82192665670692,41.588964679838746,10.303772082724375,2019__2-3-5-3-2,baseline_5_variables,5
2019,2019,4-4-1-1-5,4,4,1,1,5,ROU,1,15.0,84.95981630309988,92.82309322033898,3.857956731537156,6.134073406177688,23.2781103467362,2019__4-4-1-1-5,baseline_5_variables,5
2019,2019,1-3-5-4-1,1,3,5,4,1,BEL,1,14.0,49.08151549942594,87.34866828087166,70.00715941122002,57.54448788543463,5.46515980316359,2019__1-3-5-4-1,baseline_5_variables,5
2019,2019,2-5-3-2-2,2,5,3,2,2,HUN,1,14.0,67.85304247990815,94.72230629539952,28.27273965832401,23.56059240981288,11.675201685346895,2019__2-5-3-2-2,baseline_5_variables,5
2019,2019,4-2-1-3-3,4,2,1,3,3,LVA,1,13.0,83.40987370838117,83.77345641646488,8.367212675345845,46.06342513959475,17.966545280752904,2019__4-2-1-3-3,baseline_5_variables,5
2019,2019,4-2-1-4-2,4,2,1,4,2,LTU,1,13.0,84.73019517795638,83.97018765133171,16.453232398855995,63.28073788427946,8.94617543152759,2019__4-2-1-4-2,baseline_5_variables,5
2019,2019,1-1-4-3-3,1,1,4,3,3,FRA,1,12.0,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,2019__1-1-4-3-3,baseline_5_variables,5
2019,2019,3-1-1-1-5,3,1,1,1,5,ZAF,1,11.0,68.08881852175062,0.0,7.200551492704578,0.0,36.1103793762552,2019__3-1-1-1-5,baseline_5_variables,5
2019,2019,3-2-1-2-3,3,2,1,2,3,SVK,1,11.0,77.61194029850746,85.85805084745763,12.355061647969832,23.108830516661,11.77511808391389,2019__3-2-1-2-3,baseline_5_variables,5
2019,2019,5-1-2-1-2,5,1,2,1,2,TUR,1,11.0,85.95862545518266,55.67493946731234,24.05710619748545,14.235789751453732,10.9739338024312,2019__5-1-2-1-2,baseline_5_variables,5
2019,2019,2-1-1-1-5,2,1,1,1,5,COL,1,10.0,63.43060931281159,66.4497578692494,0.0,18.71941503554236,85.55347454172669,2019__2-1-1-1-5,baseline_5_variables,5
2019,2019,2-2-2-1-3,2,2,2,1,3,HRV,1,10.0,64.46613088404133,82.85411622276028,18.685613976028822,21.70648555061525,15.208864633434748,2019__2-2-2-1-3,baseline_5_variables,5
2019,2019,1-2-3-2-1,1,2,3,2,1,PRT,1,9.0,38.51894374282434,82.64981840193705,26.544367548649976,24.52017759818624,7.398281928082919,2019__1-2-3-2-1,baseline_5_variables,5
2019,2019,2-1-2-3-1,2,1,2,3,1,ESP,1,9.0,49.08151549942594,54.25998789346247,22.76382925945436,52.74810418787415,7.822474809952926,2019__2-1-2-3-1,baseline_5_variables,5
2019,2019,1-1-2-2-1,1,1,2,2,1,GRC,1,7.0,0.0,42.12696731234868,23.265835619162388,37.23172433222257,6.474180945360969,2019__1-1-2-2-1,baseline_5_variables,5
2019,2019,1-1-3-1-1,1,1,3,1,1,ITA,1,7.0,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,2019__1-1-3-1-1,baseline_5_variables,5
